control_ref,control_text,control_text_enriched,subject,verbs,context,semantic_summary,key_concepts,scope,security_domains,enriched_text
GV.RR-01,"Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving","Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving",Organizational leadership responsibility for cybersecurity risk and culture,"is,fosters","Leadership accountability and a risk‑aware, ethical culture support effective cybersecurity risk management.","Organizational leadership must be responsible and accountable for cybersecurity risk and must foster a risk‑aware, ethical, continually improving culture.","Organizational leadership,responsible,accountable,cybersecurity risk,culture,risk-aware,ethical,continually improving",Organizational leadership is responsible and accountable for cybersecurity risk and for fostering an appropriate culture.,"governance,risk management","Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving

[TOPICS: Organizational leadership responsibility for cybersecurity risk and culture]
[ACTIONS: is,fosters]
[DOMAINS: governance,risk management]
[SUMMARY: Organizational leadership must be responsible and accountable for cybersecurity risk and must foster a risk‑aware, ethical, continually improving culture.]
[PURPOSE: Leadership accountability and a risk‑aware, ethical culture support effective cybersecurity risk management.]
[CONCEPTS: Organizational leadership,responsible,accountable,cybersecurity risk,culture,risk-aware,ethical,continually improving]
[SCOPE: Organizational leadership is responsible and accountable for cybersecurity risk and for fostering an appropriate culture.]"
GV.RR-02,"Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced","Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced","Roles, responsibilities, and authorities related to cybersecurity risk management","established,communicated,understood,enforced","Clear establishment, communication, understanding, and enforcement of roles, responsibilities, and authorities supports effective cybersecurity risk management.","The organization must define and assign roles, responsibilities, and authorities for cybersecurity risk management, then communicate them to relevant parties, ensure they are understood, and enforce them.","Roles,responsibilities,authorities,cybersecurity risk management","Roles, responsibilities, and authorities related to cybersecurity risk management are covered.","governance,risk management","Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced

[TOPICS: Roles, responsibilities, and authorities related to cybersecurity risk management]
[ACTIONS: established,communicated,understood,enforced]
[DOMAINS: governance,risk management]
[SUMMARY: The organization must define and assign roles, responsibilities, and authorities for cybersecurity risk management, then communicate them to relevant parties, ensure they are understood, and enforce them.]
[PURPOSE: Clear establishment, communication, understanding, and enforcement of roles, responsibilities, and authorities supports effective cybersecurity risk management.]
[CONCEPTS: Roles,responsibilities,authorities,cybersecurity risk management]
[SCOPE: Roles, responsibilities, and authorities related to cybersecurity risk management are covered.]"
GV.RR-03,"Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies","Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies",Allocation of adequate resources aligned with cybersecurity risk strategy,allocated,"Ensuring resources match the cybersecurity risk strategy, roles, responsibilities, and policies helps maintain effective risk management.","The organization must provide sufficient resources that are proportionate to its cybersecurity risk strategy, as well as to defined roles, responsibilities, and policies.","adequate resources, cybersecurity risk strategy, roles, responsibilities, policies","Resources, risk strategy, roles, responsibilities, and policies are in scope.","governance, risk management","Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies

[TOPICS: Allocation of adequate resources aligned with cybersecurity risk strategy]
[ACTIONS: allocated]
[DOMAINS: governance, risk management]
[SUMMARY: The organization must provide sufficient resources that are proportionate to its cybersecurity risk strategy, as well as to defined roles, responsibilities, and policies.]
[PURPOSE: Ensuring resources match the cybersecurity risk strategy, roles, responsibilities, and policies helps maintain effective risk management.]
[CONCEPTS: adequate resources, cybersecurity risk strategy, roles, responsibilities, policies]
[SCOPE: Resources, risk strategy, roles, responsibilities, and policies are in scope.]"
GV.RR-04,Cybersecurity is included in human resources practices enforced,Cybersecurity is included in human resources practices enforced,Inclusion of cybersecurity in human resources practices,"included,enforced",Ensuring cybersecurity considerations are part of human resources practices.,The control mandates that cybersecurity be incorporated into human resources practices and that these practices be enforced.,"Cybersecurity, human resources practices, enforced",Human resources practices are covered by this control.,human resources security,"Cybersecurity is included in human resources practices enforced

[TOPICS: Inclusion of cybersecurity in human resources practices]
[ACTIONS: included,enforced]
[DOMAINS: human resources security]
[SUMMARY: The control mandates that cybersecurity be incorporated into human resources practices and that these practices be enforced.]
[PURPOSE: Ensuring cybersecurity considerations are part of human resources practices.]
[CONCEPTS: Cybersecurity, human resources practices, enforced]
[SCOPE: Human resources practices are covered by this control.]"
GV.SC-01,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders","A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders",cybersecurity supply chain risk management program and related policies,"established, agreed",It ensures that cybersecurity supply chain risk management elements are defined and accepted by stakeholders.,"The organization must create a cybersecurity supply chain risk management program along with its strategy, objectives, policies, and processes, and obtain agreement from organizational stakeholders.","cybersecurity supply chain risk management,program,strategy,objectives,policies,processes,organizational stakeholders","The control covers the establishment and stakeholder agreement of the cybersecurity supply chain risk management program, its strategy, objectives, policies, and processes.",risk management,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders

[TOPICS: cybersecurity supply chain risk management program and related policies]
[ACTIONS: established, agreed]
[DOMAINS: risk management]
[SUMMARY: The organization must create a cybersecurity supply chain risk management program along with its strategy, objectives, policies, and processes, and obtain agreement from organizational stakeholders.]
[PURPOSE: It ensures that cybersecurity supply chain risk management elements are defined and accepted by stakeholders.]
[CONCEPTS: cybersecurity supply chain risk management,program,strategy,objectives,policies,processes,organizational stakeholders]
[SCOPE: The control covers the establishment and stakeholder agreement of the cybersecurity supply chain risk management program, its strategy, objectives, policies, and processes.]"
GV.SC-02,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally","Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally","Cybersecurity roles and responsibilities for suppliers, customers, and partners","established, communicated, coordinated","Ensures that cybersecurity duties for suppliers, customers, and partners are clearly defined and aligned across internal and external parties.","Cybersecurity roles and responsibilities for suppliers, customers, and partners must be established. These roles must be communicated and coordinated both internally and externally.","Cybersecurity roles, responsibilities, suppliers, customers, partners, internally, externally","Suppliers, customers, and partners are in scope, along with internal and external coordination of cybersecurity responsibilities.",governance,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally

[TOPICS: Cybersecurity roles and responsibilities for suppliers, customers, and partners]
[ACTIONS: established, communicated, coordinated]
[DOMAINS: governance]
[SUMMARY: Cybersecurity roles and responsibilities for suppliers, customers, and partners must be established. These roles must be communicated and coordinated both internally and externally.]
[PURPOSE: Ensures that cybersecurity duties for suppliers, customers, and partners are clearly defined and aligned across internal and external parties.]
[CONCEPTS: Cybersecurity roles, responsibilities, suppliers, customers, partners, internally, externally]
[SCOPE: Suppliers, customers, and partners are in scope, along with internal and external coordination of cybersecurity responsibilities.]"
GV.SC-03,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes","Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",Cybersecurity supply chain risk management integration,integrated,Integrating supply chain risk management ensures it is considered within overall cybersecurity and enterprise risk management activities.,"The organization must incorporate cybersecurity supply chain risk management into its cybersecurity program, enterprise risk management, risk assessments, and continuous improvement processes.","Cybersecurity supply chain risk management, cybersecurity, enterprise risk management, risk assessment, improvement processes","Supply chain risk management activities are covered within cybersecurity, enterprise risk management, risk assessment, and improvement processes.","risk management, supplier management","Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes

[TOPICS: Cybersecurity supply chain risk management integration]
[ACTIONS: integrated]
[DOMAINS: risk management, supplier management]
[SUMMARY: The organization must incorporate cybersecurity supply chain risk management into its cybersecurity program, enterprise risk management, risk assessments, and continuous improvement processes.]
[PURPOSE: Integrating supply chain risk management ensures it is considered within overall cybersecurity and enterprise risk management activities.]
[CONCEPTS: Cybersecurity supply chain risk management, cybersecurity, enterprise risk management, risk assessment, improvement processes]
[SCOPE: Supply chain risk management activities are covered within cybersecurity, enterprise risk management, risk assessment, and improvement processes.]"
GV.SC-04,"Suppliers are known and prioritized by criticality 17 NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024","Suppliers are known and prioritized by criticality 17 NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024",Suppliers known and prioritized by criticality,"known, prioritized",The control ensures that suppliers are identified and ranked according to criticality.,Organizations must identify their suppliers and assign a priority based on each supplier's criticality.,"Suppliers, criticality, known, prioritized",The control applies to suppliers.,supplier management,"Suppliers are known and prioritized by criticality 17 NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024

[TOPICS: Suppliers known and prioritized by criticality]
[ACTIONS: known, prioritized]
[DOMAINS: supplier management]
[SUMMARY: Organizations must identify their suppliers and assign a priority based on each supplier's criticality.]
[PURPOSE: The control ensures that suppliers are identified and ranked according to criticality.]
[CONCEPTS: Suppliers, criticality, known, prioritized]
[SCOPE: The control applies to suppliers.]"
GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties","Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",Cybersecurity risk requirements for supply chain contracts,"address, established, prioritized, integrated",It ensures that cybersecurity risks in the supply chain are managed by embedding required controls into contracts and agreements with suppliers and relevant third parties.,"The organization must define, rank, and incorporate requirements for mitigating cybersecurity risks in its supply chain into contracts and other agreements with suppliers and relevant third parties.","requirements, cybersecurity risks, supply chains, contracts, agreements, suppliers, third parties",Requirements for addressing cybersecurity risks in supply chains are incorporated into contracts and agreements with suppliers and relevant third parties.,"risk management, supplier management","Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties

[TOPICS: Cybersecurity risk requirements for supply chain contracts]
[ACTIONS: address, established, prioritized, integrated]
[DOMAINS: risk management, supplier management]
[SUMMARY: The organization must define, rank, and incorporate requirements for mitigating cybersecurity risks in its supply chain into contracts and other agreements with suppliers and relevant third parties.]
[PURPOSE: It ensures that cybersecurity risks in the supply chain are managed by embedding required controls into contracts and agreements with suppliers and relevant third parties.]
[CONCEPTS: requirements, cybersecurity risks, supply chains, contracts, agreements, suppliers, third parties]
[SCOPE: Requirements for addressing cybersecurity risks in supply chains are incorporated into contracts and agreements with suppliers and relevant third parties.]"
GV.SC-06,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,Planning and due diligence for supplier and third-party relationships,"performed, reduce, entering",It aims to reduce risks prior to establishing formal supplier or other third-party relationships.,The organization must conduct planning and due‑diligence activities before formalizing any supplier or third‑party relationship to mitigate associated risks.,"Planning, due diligence, risks, formal supplier, third-party relationships",The control applies to planning and due‑diligence activities prior to entering formal supplier or other third‑party relationships.,"governance, risk management, supplier management","Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships

[TOPICS: Planning and due diligence for supplier and third-party relationships]
[ACTIONS: performed, reduce, entering]
[DOMAINS: governance, risk management, supplier management]
[SUMMARY: The organization must conduct planning and due‑diligence activities before formalizing any supplier or third‑party relationship to mitigate associated risks.]
[PURPOSE: It aims to reduce risks prior to establishing formal supplier or other third-party relationships.]
[CONCEPTS: Planning, due diligence, risks, formal supplier, third-party relationships]
[SCOPE: The control applies to planning and due‑diligence activities prior to entering formal supplier or other third‑party relationships.]"
GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship","The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship","Risks posed by a supplier, their products and services, and other third parties","understood,recorded,prioritized,assessed,responded,monitored","It ensures that risks from suppliers, their products and services, and other third parties are managed throughout the relationship.","The organization must understand, document, prioritize, assess, respond to, and continuously monitor risks associated with suppliers, their products and services, and other third parties for the duration of the relationship.","risks,supplier,products,services,third parties,relationship","Risks from suppliers, their products and services, and other third parties throughout the relationship are in scope.","risk management,supplier management","The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship

[TOPICS: Risks posed by a supplier, their products and services, and other third parties]
[ACTIONS: understood,recorded,prioritized,assessed,responded,monitored]
[DOMAINS: risk management,supplier management]
[SUMMARY: The organization must understand, document, prioritize, assess, respond to, and continuously monitor risks associated with suppliers, their products and services, and other third parties for the duration of the relationship.]
[PURPOSE: It ensures that risks from suppliers, their products and services, and other third parties are managed throughout the relationship.]
[CONCEPTS: risks,supplier,products,services,third parties,relationship]
[SCOPE: Risks from suppliers, their products and services, and other third parties throughout the relationship are in scope.]"
GV.SC-08,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities","Relevant suppliers and other third parties are included in incident planning, response, and recovery activities","Inclusion of relevant suppliers and other third parties in incident planning, response, and recovery",included,"Including relevant suppliers and other third parties ensures they participate in incident planning, response, and recovery activities.","The organization must ensure that relevant suppliers and other third parties are incorporated into the processes for incident planning, response, and recovery.","relevant suppliers, other third parties, incident planning, response, recovery activities","The scope covers relevant suppliers and other third parties participating in incident planning, response, and recovery activities.","incident management, business continuity","Relevant suppliers and other third parties are included in incident planning, response, and recovery activities

[TOPICS: Inclusion of relevant suppliers and other third parties in incident planning, response, and recovery]
[ACTIONS: included]
[DOMAINS: incident management, business continuity]
[SUMMARY: The organization must ensure that relevant suppliers and other third parties are incorporated into the processes for incident planning, response, and recovery.]
[PURPOSE: Including relevant suppliers and other third parties ensures they participate in incident planning, response, and recovery activities.]
[CONCEPTS: relevant suppliers, other third parties, incident planning, response, recovery activities]
[SCOPE: The scope covers relevant suppliers and other third parties participating in incident planning, response, and recovery activities.]"
GV.SC-09,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle","Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",Supply chain security practices integration and monitoring in technology product and service life cycle,"integrated,monitored",It ensures supply chain security is part of cybersecurity and enterprise risk management programs and that its performance is tracked throughout the technology product and service lifecycle.,"The organization must incorporate supply chain security practices into its cybersecurity and enterprise risk management programs, and continuously monitor the performance of these practices throughout the entire technology product and service lifecycle.","supply chain security practices,cybersecurity,enterprise risk management programs,performance,technology product,service life cycle",The control covers supply chain security practices across the technology product and service lifecycle.,"risk management,supplier management","Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle

[TOPICS: Supply chain security practices integration and monitoring in technology product and service life cycle]
[ACTIONS: integrated,monitored]
[DOMAINS: risk management,supplier management]
[SUMMARY: The organization must incorporate supply chain security practices into its cybersecurity and enterprise risk management programs, and continuously monitor the performance of these practices throughout the entire technology product and service lifecycle.]
[PURPOSE: It ensures supply chain security is part of cybersecurity and enterprise risk management programs and that its performance is tracked throughout the technology product and service lifecycle.]
[CONCEPTS: supply chain security practices,cybersecurity,enterprise risk management programs,performance,technology product,service life cycle]
[SCOPE: The control covers supply chain security practices across the technology product and service lifecycle.]"
GV.SC-10,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Cybersecurity supply chain risk management plans,"include, occur",Ensures that supply chain risk management addresses activities after a partnership or service agreement ends.,The control requires cybersecurity supply chain risk management plans to include provisions for activities that occur after the conclusion of a partnership or service agreement.,"cybersecurity, supply chain, risk management, plans, provisions, activities, partnership, service agreement",Covers cybersecurity supply chain risk management plans and post‑partnership or service agreement activities.,risk management,"Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement

[TOPICS: Cybersecurity supply chain risk management plans]
[ACTIONS: include, occur]
[DOMAINS: risk management]
[SUMMARY: The control requires cybersecurity supply chain risk management plans to include provisions for activities that occur after the conclusion of a partnership or service agreement.]
[PURPOSE: Ensures that supply chain risk management addresses activities after a partnership or service agreement ends.]
[CONCEPTS: cybersecurity, supply chain, risk management, plans, provisions, activities, partnership, service agreement]
[SCOPE: Covers cybersecurity supply chain risk management plans and post‑partnership or service agreement activities.]"
ID.AM-01,Inventories of hardware managed by the organization are maintained,Inventories of hardware managed by the organization are maintained,Hardware inventory management,"maintained, managed",Maintaining inventories of hardware ensures the organization has a record of its managed hardware.,The organization must keep up-to-date inventories of all hardware it manages.,"Inventories, hardware, organization, managed, maintained",All hardware that is managed by the organization.,asset management,"Inventories of hardware managed by the organization are maintained

[TOPICS: Hardware inventory management]
[ACTIONS: maintained, managed]
[DOMAINS: asset management]
[SUMMARY: The organization must keep up-to-date inventories of all hardware it manages.]
[PURPOSE: Maintaining inventories of hardware ensures the organization has a record of its managed hardware.]
[CONCEPTS: Inventories, hardware, organization, managed, maintained]
[SCOPE: All hardware that is managed by the organization.]"
ID.AM-02,"Inventories of software, services, and systems managed by the organization are maintained","Inventories of software, services, and systems managed by the organization are maintained","Inventories of software, services, and systems","maintained, managed","Maintaining inventories provides visibility into the software, services, and systems the organization manages.","The organization must keep up-to-date inventories of its software, services, and systems. These inventories must cover items that are managed by the organization.","Inventories, software, services, systems, organization, maintained, managed","Software, services, and systems that are managed by the organization are covered.",asset management,"Inventories of software, services, and systems managed by the organization are maintained

[TOPICS: Inventories of software, services, and systems]
[ACTIONS: maintained, managed]
[DOMAINS: asset management]
[SUMMARY: The organization must keep up-to-date inventories of its software, services, and systems. These inventories must cover items that are managed by the organization.]
[PURPOSE: Maintaining inventories provides visibility into the software, services, and systems the organization manages.]
[CONCEPTS: Inventories, software, services, systems, organization, maintained, managed]
[SCOPE: Software, services, and systems that are managed by the organization are covered.]"
ID.AM-03,Representations of the organization’s authorized network communication and internal and external network data flows are maintained,Representations of the organization’s authorized network communication and internal and external network data flows are maintained,Representations of authorized network communication and network data flows,maintained,Maintaining these representations provides visibility of authorized network activity and data movement.,The organization must keep up‑to‑date representations of its authorized network communications as well as internal and external network data flows.,"representations, authorized network communication, internal network data flows, external network data flows",Authorized network communication and both internal and external network data flows are covered.,"operations security, communications security","Representations of the organization’s authorized network communication and internal and external network data flows are maintained

[TOPICS: Representations of authorized network communication and network data flows]
[ACTIONS: maintained]
[DOMAINS: operations security, communications security]
[SUMMARY: The organization must keep up‑to‑date representations of its authorized network communications as well as internal and external network data flows.]
[PURPOSE: Maintaining these representations provides visibility of authorized network activity and data movement.]
[CONCEPTS: representations, authorized network communication, internal network data flows, external network data flows]
[SCOPE: Authorized network communication and both internal and external network data flows are covered.]"
ID.AM-04,Inventories of services provided by suppliers are maintained,Inventories of services provided by suppliers are maintained,Inventories of services provided by suppliers,"maintained,provided",Maintaining inventories of supplier services enables visibility of external service dependencies.,The organization must maintain up‑to‑date inventories that list the services supplied by external vendors.,"Inventories,services,suppliers",The control covers inventories of services provided by suppliers.,"asset management, supplier management","Inventories of services provided by suppliers are maintained

[TOPICS: Inventories of services provided by suppliers]
[ACTIONS: maintained,provided]
[DOMAINS: asset management, supplier management]
[SUMMARY: The organization must maintain up‑to‑date inventories that list the services supplied by external vendors.]
[PURPOSE: Maintaining inventories of supplier services enables visibility of external service dependencies.]
[CONCEPTS: Inventories,services,suppliers]
[SCOPE: The control covers inventories of services provided by suppliers.]"
ID.AM-05,"Assets are prioritized based on classification, criticality, resources, and impact on the mission","Assets are prioritized based on classification, criticality, resources, and impact on the mission","Asset prioritization based on classification, criticality, resources, and mission impact",prioritized,"This control ensures assets are ordered according to their classification, criticality, resources, and impact on the mission.","The organization must rank its assets by considering their classification, criticality, the resources they consume, and the impact they have on the mission.","Assets, classification, criticality, resources, impact, mission","All assets are covered for prioritization based on classification, criticality, resources, and mission impact.","asset management, risk management","Assets are prioritized based on classification, criticality, resources, and impact on the mission

[TOPICS: Asset prioritization based on classification, criticality, resources, and mission impact]
[ACTIONS: prioritized]
[DOMAINS: asset management, risk management]
[SUMMARY: The organization must rank its assets by considering their classification, criticality, the resources they consume, and the impact they have on the mission.]
[PURPOSE: This control ensures assets are ordered according to their classification, criticality, resources, and impact on the mission.]
[CONCEPTS: Assets, classification, criticality, resources, impact, mission]
[SCOPE: All assets are covered for prioritization based on classification, criticality, resources, and mission impact.]"
ID.AM-07,Inventories of data and corresponding metadata for designated data types are maintained,Inventories of data and corresponding metadata for designated data types are maintained,Inventories of data and metadata for designated data types,maintained,Maintaining inventories of data and metadata provides a record of designated data types.,The organization must keep an inventory of data and its associated metadata for each designated data type.,"Inventories, data, metadata, designated data types",Data and its corresponding metadata for designated data types are covered.,asset management,"Inventories of data and corresponding metadata for designated data types are maintained

[TOPICS: Inventories of data and metadata for designated data types]
[ACTIONS: maintained]
[DOMAINS: asset management]
[SUMMARY: The organization must keep an inventory of data and its associated metadata for each designated data type.]
[PURPOSE: Maintaining inventories of data and metadata provides a record of designated data types.]
[CONCEPTS: Inventories, data, metadata, designated data types]
[SCOPE: Data and its corresponding metadata for designated data types are covered.]"
ID.AM-08,"Systems, hardware, software, services, and data are managed throughout their life cycles is understood by the organization","Systems, hardware, software, services, and data are managed throughout their life cycles is understood by the organization","Management of systems, hardware, software, services, and data throughout life cycles","managed, understood","The control ensures the organization recognizes that systems, hardware, software, services, and data are managed throughout their life cycles.","The organization must manage systems, hardware, software, services, and data across their entire life cycles and have an understanding that this management is in place.","Systems, hardware, software, services, data, life cycles, managed, understood, organization","Systems, hardware, software, services, and data are covered.",asset management,"Systems, hardware, software, services, and data are managed throughout their life cycles is understood by the organization

[TOPICS: Management of systems, hardware, software, services, and data throughout life cycles]
[ACTIONS: managed, understood]
[DOMAINS: asset management]
[SUMMARY: The organization must manage systems, hardware, software, services, and data across their entire life cycles and have an understanding that this management is in place.]
[PURPOSE: The control ensures the organization recognizes that systems, hardware, software, services, and data are managed throughout their life cycles.]
[CONCEPTS: Systems, hardware, software, services, data, life cycles, managed, understood, organization]
[SCOPE: Systems, hardware, software, services, and data are covered.]"
ID.IM-01,Improvements are identified from evaluations,Improvements are identified from evaluations,Identification of improvements from evaluations,identified,Identifying improvements from evaluations supports continuous enhancement of processes.,The organization must identify improvements based on evaluation results.,"Improvements, evaluations",,,"Improvements are identified from evaluations

[TOPICS: Identification of improvements from evaluations]
[ACTIONS: identified]
[SUMMARY: The organization must identify improvements based on evaluation results.]
[PURPOSE: Identifying improvements from evaluations supports continuous enhancement of processes.]
[CONCEPTS: Improvements, evaluations]"
ID.IM-02,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties","Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",Identification of improvements from security tests and exercises,"identified, done","This control ensures that improvements are derived from security tests and exercises, including those involving suppliers and relevant third parties.","The organization must identify improvements based on the results of security tests and exercises, and must consider improvements from activities performed with suppliers and relevant third parties.","Improvements, security tests, exercises, suppliers, relevant third parties","Security tests and exercises, including those conducted with suppliers and relevant third parties.","operations security, supplier management","Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties

[TOPICS: Identification of improvements from security tests and exercises]
[ACTIONS: identified, done]
[DOMAINS: operations security, supplier management]
[SUMMARY: The organization must identify improvements based on the results of security tests and exercises, and must consider improvements from activities performed with suppliers and relevant third parties.]
[PURPOSE: This control ensures that improvements are derived from security tests and exercises, including those involving suppliers and relevant third parties.]
[CONCEPTS: Improvements, security tests, exercises, suppliers, relevant third parties]
[SCOPE: Security tests and exercises, including those conducted with suppliers and relevant third parties.]"
ID.IM-03,"Improvements are identified from execution of operational processes, procedures, and activities","Improvements are identified from execution of operational processes, procedures, and activities","Identification of improvements from operational processes, procedures, and activities",identified,Identifying improvements from operational execution helps enhance process effectiveness.,"The organization must identify improvements that arise from carrying out its operational processes, procedures, and activities. These identified improvements should be captured for further action.","Improvements, execution, operational processes, procedures, activities","The control applies to the execution of operational processes, procedures, and activities.",governance,"Improvements are identified from execution of operational processes, procedures, and activities

[TOPICS: Identification of improvements from operational processes, procedures, and activities]
[ACTIONS: identified]
[DOMAINS: governance]
[SUMMARY: The organization must identify improvements that arise from carrying out its operational processes, procedures, and activities. These identified improvements should be captured for further action.]
[PURPOSE: Identifying improvements from operational execution helps enhance process effectiveness.]
[CONCEPTS: Improvements, execution, operational processes, procedures, activities]
[SCOPE: The control applies to the execution of operational processes, procedures, and activities.]"
ID.IM-04,"Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved","Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved",Incident response plans and other cybersecurity plans affecting operations,"affect,established,communicated,maintained,improved",The control ensures that plans influencing operations are created and kept up to date to support effective response.,"The organization must create incident response and other cybersecurity plans that impact operations, distribute them to relevant parties, keep them current, and continuously enhance them.","Incident response plans,cybersecurity plans,operations",Covers incident response plans and other cybersecurity plans that affect operations.,"incident management,operations security","Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved

[TOPICS: Incident response plans and other cybersecurity plans affecting operations]
[ACTIONS: affect,established,communicated,maintained,improved]
[DOMAINS: incident management,operations security]
[SUMMARY: The organization must create incident response and other cybersecurity plans that impact operations, distribute them to relevant parties, keep them current, and continuously enhance them.]
[PURPOSE: The control ensures that plans influencing operations are created and kept up to date to support effective response.]
[CONCEPTS: Incident response plans,cybersecurity plans,operations]
[SCOPE: Covers incident response plans and other cybersecurity plans that affect operations.]"
ID.RA-01,"Vulnerabilities in assets are identified, validated, and recorded 18 NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024","Vulnerabilities in assets are identified, validated, and recorded 18 NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024","Identification, validation, and recording of vulnerabilities in assets","identified, validated, recorded",This control ensures that vulnerabilities in assets are documented.,"The organization must identify vulnerabilities in its assets, validate those findings, and record them.","vulnerabilities, assets, identified, validated, recorded",The control applies to vulnerabilities in assets.,"risk management, asset management","Vulnerabilities in assets are identified, validated, and recorded 18 NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024

[TOPICS: Identification, validation, and recording of vulnerabilities in assets]
[ACTIONS: identified, validated, recorded]
[DOMAINS: risk management, asset management]
[SUMMARY: The organization must identify vulnerabilities in its assets, validate those findings, and record them.]
[PURPOSE: This control ensures that vulnerabilities in assets are documented.]
[CONCEPTS: vulnerabilities, assets, identified, validated, recorded]
[SCOPE: The control applies to vulnerabilities in assets.]"
ID.RA-02,Cyber threat intelligence is received from information sharing forums and sources,Cyber threat intelligence is received from information sharing forums and sources,Cyber threat intelligence receipt from information sharing forums and sources,received,Receiving cyber threat intelligence from sharing forums and sources helps organizations stay informed about emerging threats.,The organization must obtain cyber threat intelligence from information sharing forums and other sources.,"Cyber threat intelligence,information sharing forums,sources",The control covers the receipt of cyber threat intelligence from information sharing forums and sources.,risk management,"Cyber threat intelligence is received from information sharing forums and sources

[TOPICS: Cyber threat intelligence receipt from information sharing forums and sources]
[ACTIONS: received]
[DOMAINS: risk management]
[SUMMARY: The organization must obtain cyber threat intelligence from information sharing forums and other sources.]
[PURPOSE: Receiving cyber threat intelligence from sharing forums and sources helps organizations stay informed about emerging threats.]
[CONCEPTS: Cyber threat intelligence,information sharing forums,sources]
[SCOPE: The control covers the receipt of cyber threat intelligence from information sharing forums and sources.]"
