control_ref,control_text,control_text_enriched,subject,verbs,context,semantic_summary,key_concepts,scope,security_domains,enriched_text
2.14.3.2,"Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall include the following as a minimum: : Access and monitoring logs (CCTV).","Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall include the following as a minimum: : Access and monitoring logs (CCTV).","Protection of information and technology assets against unauthorized physical access, loss, theft, and damage",include,"It protects the entity’s information and technology assets from unauthorized physical access, loss, theft, and damage.","The organization must keep access and monitoring logs, including CCTV recordings, to meet the minimum cybersecurity requirements for physical protection of its information and technology assets. This helps prevent unauthorized physical access, loss, theft, and damage.","Cybersecurity Defense, Physical Security, information, technology assets, unauthorized physical access, loss, theft, damage, Access and monitoring logs, CCTV",The control applies to the entity’s information and technology assets and requires maintaining access and monitoring logs such as CCTV.,"physical security, asset management, access control","Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall include the following as a minimum: : Access and monitoring logs (CCTV).

[TOPICS: Protection of information and technology assets against unauthorized physical access, loss, theft, and damage]
[ACTIONS: include]
[DOMAINS: physical security, asset management, access control]
[SUMMARY: The organization must keep access and monitoring logs, including CCTV recordings, to meet the minimum cybersecurity requirements for physical protection of its information and technology assets. This helps prevent unauthorized physical access, loss, theft, and damage.]
[PURPOSE: It protects the entity’s information and technology assets from unauthorized physical access, loss, theft, and damage.]
[CONCEPTS: Cybersecurity Defense, Physical Security, information, technology assets, unauthorized physical access, loss, theft, damage, Access and monitoring logs, CCTV]
[SCOPE: The control applies to the entity’s information and technology assets and requires maintaining access and monitoring logs such as CCTV.]"
2.14.3.3,"Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall include the following as a minimum: : Protection of access and monitoring log information.","Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall include the following as a minimum: : Protection of access and monitoring log information.",Protection of access and monitoring log information for physical security,include,"It aims to protect the entity’s information and technology assets from unauthorized physical access, loss, theft, and damage.","The organization must implement protection of access and maintain monitoring log information as a minimum requirement to safeguard information and technology assets against unauthorized physical access, loss, theft, and damage.","Cybersecurity Defense, Physical Security, information, technology assets, unauthorized physical access, loss, theft, damage, Protection of access, monitoring log information","Covers protection of the entity’s information and technology assets from unauthorized physical access, loss, theft, and damage.","physical security, asset management","Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall include the following as a minimum: : Protection of access and monitoring log information.

[TOPICS: Protection of access and monitoring log information for physical security]
[ACTIONS: include]
[DOMAINS: physical security, asset management]
[SUMMARY: The organization must implement protection of access and maintain monitoring log information as a minimum requirement to safeguard information and technology assets against unauthorized physical access, loss, theft, and damage.]
[PURPOSE: It aims to protect the entity’s information and technology assets from unauthorized physical access, loss, theft, and damage.]
[CONCEPTS: Cybersecurity Defense, Physical Security, information, technology assets, unauthorized physical access, loss, theft, damage, Protection of access, monitoring log information]
[SCOPE: Covers protection of the entity’s information and technology assets from unauthorized physical access, loss, theft, and damage.]"
2.14.3.4,"Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall include the following as a minimum: : Security of the destruction and re-use of physical assets that hold classified information (including paper documents and storage media).","Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall include the following as a minimum: : Security of the destruction and re-use of physical assets that hold classified information (including paper documents and storage media).",Destruction and re-use security for physical assets containing classified information,"include, hold","The control protects information and technology assets from unauthorized physical access, loss, theft, and damage.",The entity must ensure that physical assets containing classified information are securely destroyed and safely re-used. This applies to paper documents and storage media.,"Cybersecurity Defense, Physical Security, information, technology assets, unauthorized physical access, loss, theft, damage, destruction, re-use, physical assets, classified information, paper documents, storage media","Information and technology assets of the entity, specifically physical assets holding classified information such as paper documents and storage media.","physical security, asset management","Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall include the following as a minimum: : Security of the destruction and re-use of physical assets that hold classified information (including paper documents and storage media).

[TOPICS: Destruction and re-use security for physical assets containing classified information]
[ACTIONS: include, hold]
[DOMAINS: physical security, asset management]
[SUMMARY: The entity must ensure that physical assets containing classified information are securely destroyed and safely re-used. This applies to paper documents and storage media.]
[PURPOSE: The control protects information and technology assets from unauthorized physical access, loss, theft, and damage.]
[CONCEPTS: Cybersecurity Defense, Physical Security, information, technology assets, unauthorized physical access, loss, theft, damage, destruction, re-use, physical assets, classified information, paper documents, storage media]
[SCOPE: Information and technology assets of the entity, specifically physical assets holding classified information such as paper documents and storage media.]"
2.14.3.5,"Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall include the following as a minimum: : Security of devices and equipment inside and outside the entity’s facilities.","Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall include the following as a minimum: : Security of devices and equipment inside and outside the entity’s facilities.",Security of devices and equipment inside and outside the entity’s facilities,include,"It protects the entity’s information and technology assets from unauthorized physical access, loss, theft, and damage.","The control requires that devices and equipment be secured inside and outside the entity’s facilities as a minimum measure to protect information and technology assets from unauthorized physical access, loss, theft, and damage.","Cybersecurity Defense, Physical Security, information, technology assets, unauthorized physical access, loss, theft, damage, devices, equipment, entity’s facilities, minimum",Devices and equipment inside and outside the entity’s facilities,physical security,"Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall include the following as a minimum: : Security of devices and equipment inside and outside the entity’s facilities.

[TOPICS: Security of devices and equipment inside and outside the entity’s facilities]
[ACTIONS: include]
[DOMAINS: physical security]
[SUMMARY: The control requires that devices and equipment be secured inside and outside the entity’s facilities as a minimum measure to protect information and technology assets from unauthorized physical access, loss, theft, and damage.]
[PURPOSE: It protects the entity’s information and technology assets from unauthorized physical access, loss, theft, and damage.]
[CONCEPTS: Cybersecurity Defense, Physical Security, information, technology assets, unauthorized physical access, loss, theft, damage, devices, equipment, entity’s facilities, minimum]
[SCOPE: Devices and equipment inside and outside the entity’s facilities]"
2.14.4,"Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall be periodically reviewed.","Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall be periodically reviewed.",Physical security protection of information and technology assets,reviewed,"It ensures that information and technology assets are safeguarded from unauthorized physical access, loss, theft, and damage.","The organization must periodically review its cybersecurity requirements that protect information and technology assets from unauthorized physical access, loss, theft, and damage.","Cybersecurity requirements, information, technology assets, unauthorized physical access, loss, theft, damage, periodically reviewed",The control covers the entity’s information and technology assets.,"physical security, asset management","Cybersecurity Defense : Physical Security : Cybersecurity requirements for protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage shall be periodically reviewed.

[TOPICS: Physical security protection of information and technology assets]
[ACTIONS: reviewed]
[DOMAINS: physical security, asset management]
[SUMMARY: The organization must periodically review its cybersecurity requirements that protect information and technology assets from unauthorized physical access, loss, theft, and damage.]
[PURPOSE: It ensures that information and technology assets are safeguarded from unauthorized physical access, loss, theft, and damage.]
[CONCEPTS: Cybersecurity requirements, information, technology assets, unauthorized physical access, loss, theft, damage, periodically reviewed]
[SCOPE: The control covers the entity’s information and technology assets.]"
2.15,"Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of; external web applications of the entity shall be identified, documented, and approved.; external web applications of the entity shall be implemented.; external web applications of the entity shall include the following as a minimum:; web applications of the entity shall be periodically reviewed.","Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of; external web applications of the entity shall be identified, documented, and approved.; external web applications of the entity shall be implemented.; external web applications of the entity shall include the following as a minimum:; web applications of the entity shall be periodically reviewed.",Cybersecurity requirements for protection of external web applications,"identified, documented, approved, implemented, include, reviewed","The control ensures that external web applications are protected by defining, documenting, implementing, and reviewing cybersecurity requirements.","The entity must identify, document, and obtain approval for cybersecurity requirements protecting its external web applications, implement those applications accordingly, include at least the specified minimum controls, and periodically review the web applications.","Cybersecurity Defense, Web Application Security, external web applications, cybersecurity requirements, identified, documented, approved, implemented, include, minimum, periodically reviewed",The control applies to the entity’s external web applications.,operations security,"Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of; external web applications of the entity shall be identified, documented, and approved.; external web applications of the entity shall be implemented.; external web applications of the entity shall include the following as a minimum:; web applications of the entity shall be periodically reviewed.

[TOPICS: Cybersecurity requirements for protection of external web applications]
[ACTIONS: identified, documented, approved, implemented, include, reviewed]
[DOMAINS: operations security]
[SUMMARY: The entity must identify, document, and obtain approval for cybersecurity requirements protecting its external web applications, implement those applications accordingly, include at least the specified minimum controls, and periodically review the web applications.]
[PURPOSE: The control ensures that external web applications are protected by defining, documenting, implementing, and reviewing cybersecurity requirements.]
[CONCEPTS: Cybersecurity Defense, Web Application Security, external web applications, cybersecurity requirements, identified, documented, approved, implemented, include, minimum, periodically reviewed]
[SCOPE: The control applies to the entity’s external web applications.]"
2.15.1,"Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall be identified, documented, and approved.","Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall be identified, documented, and approved.",Cybersecurity requirements for protection of external web applications,"identified, documented, approved",It ensures that protection requirements for external web applications are formally defined and authorized.,The organization must identify the cybersecurity requirements needed to protect its external web applications. These requirements must be documented and receive formal approval.,"Cybersecurity Defense, Web Application Security, external web applications, cybersecurity requirements, identified, documented, approved",External web applications of the entity.,"governance, operations security","Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall be identified, documented, and approved.

[TOPICS: Cybersecurity requirements for protection of external web applications]
[ACTIONS: identified, documented, approved]
[DOMAINS: governance, operations security]
[SUMMARY: The organization must identify the cybersecurity requirements needed to protect its external web applications. These requirements must be documented and receive formal approval.]
[PURPOSE: It ensures that protection requirements for external web applications are formally defined and authorized.]
[CONCEPTS: Cybersecurity Defense, Web Application Security, external web applications, cybersecurity requirements, identified, documented, approved]
[SCOPE: External web applications of the entity.]"
2.15.2,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall be implemented.,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall be implemented.,Cybersecurity requirements for protection of external web applications,implemented,The control ensures that external web applications are protected according to cybersecurity requirements.,The entity shall implement cybersecurity requirements that protect its external web applications.,"Cybersecurity Defense,Web Application Security,Cybersecurity requirements,protection,external web applications,entity,implemented",External web applications of the entity are covered.,operations security,"Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall be implemented.

[TOPICS: Cybersecurity requirements for protection of external web applications]
[ACTIONS: implemented]
[DOMAINS: operations security]
[SUMMARY: The entity shall implement cybersecurity requirements that protect its external web applications.]
[PURPOSE: The control ensures that external web applications are protected according to cybersecurity requirements.]
[CONCEPTS: Cybersecurity Defense,Web Application Security,Cybersecurity requirements,protection,external web applications,entity,implemented]
[SCOPE: External web applications of the entity are covered.]"
2.15.3,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum:,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum:,Cybersecurity requirements for protection of external web applications,include,It ensures that external web applications are protected by defined cybersecurity requirements.,The entity must establish cybersecurity requirements for protecting its external web applications. These requirements must include at least the minimum items specified.,"Cybersecurity Defense,Web Application Security,Cybersecurity requirements,protection,external web applications,minimum",External web applications of the entity are in scope.,operations security,"Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum:

[TOPICS: Cybersecurity requirements for protection of external web applications]
[ACTIONS: include]
[DOMAINS: operations security]
[SUMMARY: The entity must establish cybersecurity requirements for protecting its external web applications. These requirements must include at least the minimum items specified.]
[PURPOSE: It ensures that external web applications are protected by defined cybersecurity requirements.]
[CONCEPTS: Cybersecurity Defense,Web Application Security,Cybersecurity requirements,protection,external web applications,minimum]
[SCOPE: External web applications of the entity are in scope.]"
2.15.3.1,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: Use of web application firewall.,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: Use of web application firewall.,Protection of external web applications,"include, use",The control ensures that external web applications are protected by requiring a web application firewall.,"The entity must define cybersecurity requirements for protecting its external web applications. As a minimum, a web application firewall must be used.","Cybersecurity Defense, Web Application Security, external web applications, web application firewall, requirements",External web applications of the entity are in scope.,operations security,"Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: Use of web application firewall.

[TOPICS: Protection of external web applications]
[ACTIONS: include, use]
[DOMAINS: operations security]
[SUMMARY: The entity must define cybersecurity requirements for protecting its external web applications. As a minimum, a web application firewall must be used.]
[PURPOSE: The control ensures that external web applications are protected by requiring a web application firewall.]
[CONCEPTS: Cybersecurity Defense, Web Application Security, external web applications, web application firewall, requirements]
[SCOPE: External web applications of the entity are in scope.]"
2.15.3.2,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: : Adoption of the multi-tier architecture principle.,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: : Adoption of the multi-tier architecture principle.,Protection of external web applications,include,The control aims to protect the entity’s external web applications.,The entity must ensure that its external web applications are protected by adopting a multi-tier architecture principle as a minimum requirement.,"Cybersecurity Defense, Web Application Security, external web applications, multi-tier architecture principle",The scope covers the entity’s external web applications.,operations security,"Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: : Adoption of the multi-tier architecture principle.

[TOPICS: Protection of external web applications]
[ACTIONS: include]
[DOMAINS: operations security]
[SUMMARY: The entity must ensure that its external web applications are protected by adopting a multi-tier architecture principle as a minimum requirement.]
[PURPOSE: The control aims to protect the entity’s external web applications.]
[CONCEPTS: Cybersecurity Defense, Web Application Security, external web applications, multi-tier architecture principle]
[SCOPE: The scope covers the entity’s external web applications.]"
2.15.3.3,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: : Use of secure protocols (e.g. HTTPS).,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: : Use of secure protocols (e.g. HTTPS).,Protection of external web applications using secure protocols,"include,use",The control aims to protect the entity’s external web applications.,The entity must ensure that external web applications are protected by using secure protocols such as HTTPS.,"Cybersecurity Defense,Web Application Security,external web applications,secure protocols,HTTPS",External web applications of the entity are in scope.,communications security,"Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: : Use of secure protocols (e.g. HTTPS).

[TOPICS: Protection of external web applications using secure protocols]
[ACTIONS: include,use]
[DOMAINS: communications security]
[SUMMARY: The entity must ensure that external web applications are protected by using secure protocols such as HTTPS.]
[PURPOSE: The control aims to protect the entity’s external web applications.]
[CONCEPTS: Cybersecurity Defense,Web Application Security,external web applications,secure protocols,HTTPS]
[SCOPE: External web applications of the entity are in scope.]"
2.15.3.4,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: : Clarification of the secure usage policy for users.,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: : Clarification of the secure usage policy for users.,Cybersecurity requirements for protection of external web applications,include,The control ensures that external web applications are protected by defining a secure usage policy for users.,The entity must define and clarify a secure usage policy for users as a minimum requirement for protecting its external web applications.,"Cybersecurity Defense, Web Application Security, external web applications, secure usage policy, users, requirements, protection",External web applications of the entity and their users are in scope.,"operations security, access control","Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: : Clarification of the secure usage policy for users.

[TOPICS: Cybersecurity requirements for protection of external web applications]
[ACTIONS: include]
[DOMAINS: operations security, access control]
[SUMMARY: The entity must define and clarify a secure usage policy for users as a minimum requirement for protecting its external web applications.]
[PURPOSE: The control ensures that external web applications are protected by defining a secure usage policy for users.]
[CONCEPTS: Cybersecurity Defense, Web Application Security, external web applications, secure usage policy, users, requirements, protection]
[SCOPE: External web applications of the entity and their users are in scope.]"
2.15.3.5,"Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: : User authentication, and the suitable authentication factors and their numbers as well as the authentication techniques shall be defined based on the result of impact assessment of authentication failure and bypass for users’ access.","Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: : User authentication, and the suitable authentication factors and their numbers as well as the authentication techniques shall be defined based on the result of impact assessment of authentication failure and bypass for users’ access.",Protection of external web applications through defined user authentication requirements,"include, define",The control mitigates risks from authentication failure and bypass that could affect user access to external web applications.,"The entity must define user authentication, suitable authentication factors and their numbers, and authentication techniques for external web applications, based on the result of an impact assessment of authentication failure and bypass for users’ access.","external web applications,user authentication,authentication factors,authentication techniques,impact assessment,authentication failure,bypass,users’ access",The control covers external web applications of the entity and the definition of user authentication factors and techniques.,access control,"Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of external web applications of the entity shall include the following as a minimum: : User authentication, and the suitable authentication factors and their numbers as well as the authentication techniques shall be defined based on the result of impact assessment of authentication failure and bypass for users’ access.

[TOPICS: Protection of external web applications through defined user authentication requirements]
[ACTIONS: include, define]
[DOMAINS: access control]
[SUMMARY: The entity must define user authentication, suitable authentication factors and their numbers, and authentication techniques for external web applications, based on the result of an impact assessment of authentication failure and bypass for users’ access.]
[PURPOSE: The control mitigates risks from authentication failure and bypass that could affect user access to external web applications.]
[CONCEPTS: external web applications,user authentication,authentication factors,authentication techniques,impact assessment,authentication failure,bypass,users’ access]
[SCOPE: The control covers external web applications of the entity and the definition of user authentication factors and techniques.]"
2.15.4,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of web applications of the entity shall be periodically reviewed.,Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of web applications of the entity shall be periodically reviewed.,Cybersecurity requirements for protection of web applications,reviewed,Ensures that the entity’s web application protection requirements remain effective over time.,The entity must periodically review its cybersecurity requirements that protect its web applications.,"Cybersecurity Defense, Web Application Security, Cybersecurity requirements, protection, web applications, periodically reviewed",The control applies to the entity’s web applications and their cybersecurity protection requirements.,"governance, operations security","Cybersecurity Defense : Web Application Security : Cybersecurity requirements for protection of web applications of the entity shall be periodically reviewed.

[TOPICS: Cybersecurity requirements for protection of web applications]
[ACTIONS: reviewed]
[DOMAINS: governance, operations security]
[SUMMARY: The entity must periodically review its cybersecurity requirements that protect its web applications.]
[PURPOSE: Ensures that the entity’s web application protection requirements remain effective over time.]
[CONCEPTS: Cybersecurity Defense, Web Application Security, Cybersecurity requirements, protection, web applications, periodically reviewed]
[SCOPE: The control applies to the entity’s web applications and their cybersecurity protection requirements.]"
2.2,"Cybersecurity Defense : Identity and Access Management :; Cybersecurity requirements for identity and access management of the entity shall be identified, documented, and approved.; Cybersecurity requirements for identity and access management of the entity shall be implemented.; Cybersecurity requirements for identity and access management of the entity shall 2-2-3 include the following as a minimum:; The implementation of cybersecurity requirements for identity and access management of the entity shall be periodically reviewed.","Cybersecurity Defense : Identity and Access Management :; Cybersecurity requirements for identity and access management of the entity shall be identified, documented, and approved.; Cybersecurity requirements for identity and access management of the entity shall be implemented.; Cybersecurity requirements for identity and access management of the entity shall 2-2-3 include the following as a minimum:; The implementation of cybersecurity requirements for identity and access management of the entity shall be periodically reviewed.",Cybersecurity requirements for identity and access management of the entity,"identified,documented,approved,implemented,include,reviewed","Ensures that the entity's identity and access management requirements are defined, approved, implemented, and periodically reviewed.","The entity must identify, document, and approve its identity and access management cybersecurity requirements and then implement them. The implementation must include a minimum set of items and be periodically reviewed.","Cybersecurity Defense,Identity and Access Management,cybersecurity requirements,entity,identified,documented,approved,implemented,include,minimum,periodically reviewed",The control applies to the entity's identity and access management cybersecurity requirements.,access control,"Cybersecurity Defense : Identity and Access Management :; Cybersecurity requirements for identity and access management of the entity shall be identified, documented, and approved.; Cybersecurity requirements for identity and access management of the entity shall be implemented.; Cybersecurity requirements for identity and access management of the entity shall 2-2-3 include the following as a minimum:; The implementation of cybersecurity requirements for identity and access management of the entity shall be periodically reviewed.

[TOPICS: Cybersecurity requirements for identity and access management of the entity]
[ACTIONS: identified,documented,approved,implemented,include,reviewed]
[DOMAINS: access control]
[SUMMARY: The entity must identify, document, and approve its identity and access management cybersecurity requirements and then implement them. The implementation must include a minimum set of items and be periodically reviewed.]
[PURPOSE: Ensures that the entity's identity and access management requirements are defined, approved, implemented, and periodically reviewed.]
[CONCEPTS: Cybersecurity Defense,Identity and Access Management,cybersecurity requirements,entity,identified,documented,approved,implemented,include,minimum,periodically reviewed]
[SCOPE: The control applies to the entity's identity and access management cybersecurity requirements.]"
2.2.1,"Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall be identified, documented, and approved.","Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall be identified, documented, and approved.",Cybersecurity requirements for identity and access management,"identified, documented, approved","Ensuring that identity and access management requirements are clearly defined, recorded, and authorized.","The organization must identify, document, and obtain approval for all cybersecurity requirements related to identity and access management.","Cybersecurity Defense, Identity and Access Management, cybersecurity requirements, entity, identified, documented, approved",The control applies to the entity's identity and access management processes.,access control,"Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall be identified, documented, and approved.

[TOPICS: Cybersecurity requirements for identity and access management]
[ACTIONS: identified, documented, approved]
[DOMAINS: access control]
[SUMMARY: The organization must identify, document, and obtain approval for all cybersecurity requirements related to identity and access management.]
[PURPOSE: Ensuring that identity and access management requirements are clearly defined, recorded, and authorized.]
[CONCEPTS: Cybersecurity Defense, Identity and Access Management, cybersecurity requirements, entity, identified, documented, approved]
[SCOPE: The control applies to the entity's identity and access management processes.]"
2.2.2,Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall be implemented.,Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall be implemented.,Cybersecurity requirements for identity and access management,implemented,Ensures that the entity's identity and access management meets defined cybersecurity requirements.,The entity must implement the cybersecurity requirements that pertain to its identity and access management processes.,"Cybersecurity Defense, Identity and Access Management, Cybersecurity requirements, entity",The control applies to the entity's identity and access management.,access control,"Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall be implemented.

[TOPICS: Cybersecurity requirements for identity and access management]
[ACTIONS: implemented]
[DOMAINS: access control]
[SUMMARY: The entity must implement the cybersecurity requirements that pertain to its identity and access management processes.]
[PURPOSE: Ensures that the entity's identity and access management meets defined cybersecurity requirements.]
[CONCEPTS: Cybersecurity Defense, Identity and Access Management, Cybersecurity requirements, entity]
[SCOPE: The control applies to the entity's identity and access management.]"
2.2.3,Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall 2-2-3 include the following as a minimum:,Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall 2-2-3 include the following as a minimum:,Cybersecurity requirements for identity and access management,"shall, include",It establishes minimum cybersecurity requirements for the entity's identity and access management.,The entity must include at least the specified minimum cybersecurity requirements for its identity and access management.,"Cybersecurity Defense, Identity and Access Management, Cybersecurity requirements, entity, minimum",The control applies to the entity's identity and access management processes.,access control,"Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall 2-2-3 include the following as a minimum:

[TOPICS: Cybersecurity requirements for identity and access management]
[ACTIONS: shall, include]
[DOMAINS: access control]
[SUMMARY: The entity must include at least the specified minimum cybersecurity requirements for its identity and access management.]
[PURPOSE: It establishes minimum cybersecurity requirements for the entity's identity and access management.]
[CONCEPTS: Cybersecurity Defense, Identity and Access Management, Cybersecurity requirements, entity, minimum]
[SCOPE: The control applies to the entity's identity and access management processes.]"
2.2.3.1,Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall 2-2-3 include the following as a minimum: : include the following as a minimum: Single-factor authentication based on username and password.,Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall 2-2-3 include the following as a minimum: : include the following as a minimum: Single-factor authentication based on username and password.,Identity and Access Management cybersecurity requirements,"shall,include",Provides a minimum authentication method to protect identity and access.,The entity must implement single-factor authentication using a username and password as the minimum requirement for identity and access management.,"Cybersecurity Defense,Identity and Access Management,Cybersecurity requirements,entity,single-factor authentication,username,password,minimum",Applies to the entity’s identity and access management processes.,access control,"Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall 2-2-3 include the following as a minimum: : include the following as a minimum: Single-factor authentication based on username and password.

[TOPICS: Identity and Access Management cybersecurity requirements]
[ACTIONS: shall,include]
[DOMAINS: access control]
[SUMMARY: The entity must implement single-factor authentication using a username and password as the minimum requirement for identity and access management.]
[PURPOSE: Provides a minimum authentication method to protect identity and access.]
[CONCEPTS: Cybersecurity Defense,Identity and Access Management,Cybersecurity requirements,entity,single-factor authentication,username,password,minimum]
[SCOPE: Applies to the entity’s identity and access management processes.]"
2.2.3.2,"Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall 2-2-3 include the following as a minimum: : Multi-factor authentication, and defining the suitable authentication factors and their numbers as well as the suitable authentication techniques based on the result of impact assessment of authentication failure and bypass for remote access and for privileged accounts.","Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall 2-2-3 include the following as a minimum: : Multi-factor authentication, and defining the suitable authentication factors and their numbers as well as the suitable authentication techniques based on the result of impact assessment of authentication failure and bypass for remote access and for privileged accounts.",Cybersecurity requirements for identity and access management,"include, defining",It ensures appropriate authentication measures are applied to remote access and privileged accounts to mitigate the impact of authentication failure and bypass.,"The entity shall include multi-factor authentication and define suitable authentication factors, their numbers, and authentication techniques based on the results of an impact assessment of authentication failure and bypass for remote access and privileged accounts.","multi-factor authentication, authentication factors, authentication techniques, impact assessment, authentication failure, bypass, remote access, privileged accounts","Covers the entity’s identity and access management processes, including remote access and privileged accounts.",access control,"Cybersecurity Defense : Identity and Access Management : Cybersecurity requirements for identity and access management of the entity shall 2-2-3 include the following as a minimum: : Multi-factor authentication, and defining the suitable authentication factors and their numbers as well as the suitable authentication techniques based on the result of impact assessment of authentication failure and bypass for remote access and for privileged accounts.

[TOPICS: Cybersecurity requirements for identity and access management]
[ACTIONS: include, defining]
[DOMAINS: access control]
[SUMMARY: The entity shall include multi-factor authentication and define suitable authentication factors, their numbers, and authentication techniques based on the results of an impact assessment of authentication failure and bypass for remote access and privileged accounts.]
[PURPOSE: It ensures appropriate authentication measures are applied to remote access and privileged accounts to mitigate the impact of authentication failure and bypass.]
[CONCEPTS: multi-factor authentication, authentication factors, authentication techniques, impact assessment, authentication failure, bypass, remote access, privileged accounts]
[SCOPE: Covers the entity’s identity and access management processes, including remote access and privileged accounts.]"
